,p,rho,Estimator&Signal,AIC MSE,BIC MSE,LOO-CV MSE
0,10,0.0,Adaptive Lasso Dense,0.0687630758276579,0.0694655063810537,0.0686357613215657
1,10,0.0,Adaptive Lasso Sparse,0.0289039603170757,0.0302707640018913,0.0281521159670349
2,10,0.0,Adaptive Ridge Dense,0.1824279889340063,0.1824279889340063,0.08638119066216139
3,10,0.0,Adaptive Ridge Sparse,0.10789891609887652,0.10789891609887652,0.035677389839515114
4,10,0.0,Lasso Dense,0.0684332548927495,0.0692454650722099,0.0684081868595775
5,10,0.0,Lasso Sparse,0.0288179162885409,0.0302377299347841,0.0288331339260956
6,10,0.0,Ridge Dense,0.0688492422633345,0.0688496469113973,0.0687039083545908
7,10,0.0,Ridge Sparse,0.0283564923570295,0.0283566574647145,0.0284085114435361
8,10,0.25,Adaptive Lasso Dense,0.0924941375632581,0.0935768741424912,0.0922574269800926
9,10,0.25,Adaptive Lasso Sparse,0.0416119392452588,0.0432445139772768,0.0404141484066912
10,10,0.25,Adaptive Ridge Dense,0.2617186627877609,0.2617186627877609,0.11711396455548152
11,10,0.25,Adaptive Ridge Sparse,0.15542838456443087,0.15542838456443087,0.05145898597190646
12,10,0.25,Lasso Dense,0.092734494895623,0.0939706431152333,0.0926589140015758
13,10,0.25,Lasso Sparse,0.0417837602712692,0.0435545687262034,0.0418894454464262
14,10,0.25,Ridge Dense,0.092749817367798,0.0927514766803401,0.0915942338030275
15,10,0.25,Ridge Sparse,0.0410356099438215,0.0410364707722439,0.0406762556327605
16,10,0.5,Adaptive Lasso Dense,0.1299019583980032,0.1317102865915802,0.1293020139482632
17,10,0.5,Adaptive Lasso Sparse,0.059910492891609,0.0620934909950613,0.0580085148017607
18,10,0.5,Adaptive Ridge Dense,0.3873612820397914,0.3873612820397914,0.16655030673615057
19,10,0.5,Adaptive Ridge Sparse,0.21913419901348918,0.21913419901348918,0.07313522898827932
20,10,0.5,Lasso Dense,0.1335934351214573,0.1353634047889911,0.1335156928830979
21,10,0.5,Lasso Sparse,0.0599043504915301,0.0619769976384353,0.0600960649325008
22,10,0.5,Ridge Dense,0.1308516068194291,0.1308686330888019,0.1312734561968788
23,10,0.5,Ridge Sparse,0.0582184015327518,0.0582276170651652,0.0583160675443559
24,25,0.0,Adaptive Lasso Dense,0.0622437210901415,0.0770759236699925,0.0594362948414118
25,25,0.0,Adaptive Lasso Sparse,0.0400879079987389,0.0460274205445106,0.0355301167102656
26,25,0.0,Adaptive Ridge Dense,0.19077130635914405,0.19077130635914405,0.10795590299688004
27,25,0.0,Adaptive Ridge Sparse,0.15838241222090182,0.15838241222090182,0.0641274670178248
28,25,0.0,Lasso Dense,0.0625076329601029,0.0767072013509436,0.0626181937403347
29,25,0.0,Lasso Sparse,0.0398492828323799,0.0454807905859385,0.0400763880393885
30,25,0.0,Ridge Dense,0.058954633845165,0.0589587829606674,0.0587113599618853
31,25,0.0,Ridge Sparse,0.0352539205531387,0.0352564612501253,0.0356154408793501
32,25,0.25,Adaptive Lasso Dense,0.085660237992829,0.10210454171644,0.0808504686138913
33,25,0.25,Adaptive Lasso Sparse,0.0610562400628266,0.0691325925375705,0.0533917023695676
34,25,0.25,Adaptive Ridge Dense,0.2781875644935618,0.2781875644935618,0.1480044671843986
35,25,0.25,Adaptive Ridge Sparse,0.2414548212500798,0.2414548212500798,0.09847797627144503
36,25,0.25,Lasso Dense,0.0862031886561414,0.102963110323281,0.0864379407074931
37,25,0.25,Lasso Sparse,0.0607921357087258,0.0686089661326965,0.0614232266304095
38,25,0.25,Ridge Dense,0.0808141426346494,0.080830196088756,0.0808655066784481
39,25,0.25,Ridge Sparse,0.0537684731960561,0.0537813294034544,0.053443078484835
40,25,0.5,Adaptive Lasso Dense,0.1248683636609508,0.1416718417873101,0.1171736927493566
41,25,0.5,Adaptive Lasso Sparse,0.0956593202540567,0.1055349418287193,0.0827399836206988
42,25,0.5,Adaptive Ridge Dense,0.4137407368252974,0.4137407368252974,0.21404191679442344
43,25,0.5,Adaptive Ridge Sparse,0.36213820514214407,0.36213820514214407,0.1516232832849131
44,25,0.5,Lasso Dense,0.1246597171447522,0.1423694085727871,0.1250375929220888
45,25,0.5,Lasso Sparse,0.0942819074594321,0.1047047172368819,0.0954217138330626
46,25,0.5,Ridge Dense,0.1171049000187537,0.117223379700194,0.1145313235173275
47,25,0.5,Ridge Sparse,0.0829644829394233,0.0830640125151847,0.0824493176931786
48,50,0.0,Adaptive Lasso Dense,0.0543336750338848,0.086659102931987,0.0409932773676472
49,50,0.0,Adaptive Lasso Sparse,0.0475500973267294,0.0620143418064178,0.0320455174442678
50,50,0.0,Adaptive Ridge Dense,0.18810929654845246,0.18810929654845246,0.16749543690479896
51,50,0.0,Adaptive Ridge Sparse,0.20654172914297309,0.20654172914297309,0.13192822066022458
52,50,0.0,Lasso Dense,0.0551095915510962,0.0880821204074036,0.0577808085105555
53,50,0.0,Lasso Sparse,0.0475535935634632,0.0622886060445363,0.0482765908174635
54,50,0.0,Ridge Dense,0.0397609014378388,0.0398012998008116,0.0395034084381875
55,50,0.0,Ridge Sparse,0.0310860395548136,0.0311174724790039,0.0308622694164785
56,50,0.25,Adaptive Lasso Dense,0.0772986309104647,0.1172592238521883,0.0570465971484781
57,50,0.25,Adaptive Lasso Sparse,0.0756676376874056,0.0961948046143358,0.0495932357872157
58,50,0.25,Adaptive Ridge Dense,0.2723652399394241,0.2723652399394241,0.22924713910430386
59,50,0.25,Adaptive Ridge Sparse,0.3177317069060615,0.3177317069060615,0.20485852749432032
60,50,0.25,Lasso Dense,0.0768687198304167,0.1154633516079306,0.0789836156218677
61,50,0.25,Lasso Sparse,0.0768573961503557,0.0964653027778523,0.0780714109765788
62,50,0.25,Ridge Dense,0.0539968424563055,0.0541016603256078,0.0534131665383459
63,50,0.25,Ridge Sparse,0.0481401554547151,0.048245817684643,0.048893950533055
64,50,0.5,Adaptive Lasso Dense,0.1107938067225318,0.156036596010515,0.0814171955540164
65,50,0.5,Adaptive Lasso Sparse,0.125042521109928,0.1513573184200302,0.0795563497681952
66,50,0.5,Adaptive Ridge Dense,0.40483828081630024,0.40483828081630024,0.33338870605780097
67,50,0.5,Adaptive Ridge Sparse,0.4863737611902812,0.4863737611902812,0.33086769716109615
68,50,0.5,Lasso Dense,0.112031934928073,0.1575887807810057,0.113290018102165
69,50,0.5,Lasso Sparse,0.1248534475938035,0.1509252320993596,0.1272589782910489
70,50,0.5,Ridge Dense,0.0779380663715807,0.0783681093001755,0.0797441258455566
71,50,0.5,Ridge Sparse,0.0776246111437544,0.0780918850280367,0.0782755942894107
